Fecha lanzamiento;Inversión producción (agrupación);Recaudación Internacional (agrupación);Recaudación nacional, Recaudación mundial, Título (grupo);Título;% Internacional;% Nacional;Inversión producción;Recaudación Internacional;Recaudación lanzamiento;Recaudación mundial;Recaudación nacional
11/06/1993;60M;620M;(415.404.543, 1.058.454.230, Jurassic Park I);Jurassic Park I;60,753660269;39,246339731;63000000;643049687;50159460;1058454230;415404543
22/05/1997;60M;310M;Otro;The Lost World: Jurassic Park II;62,969247110;37,030752890;75000000;389552320;72132785;618638999;229086679
18/07/2001;90M;155M;Otro;Jurassic Park III;50,487533479;49,512466521;93000000;184733885;50771645;365900000;181166115
12/06/2015;211M;930M;Otro;Jurassic World IV;60,898758792;39,101241208;215000000;1017657016;208806270;1671063641;653406625
22/06/2018;151M;775M;Otro;Jurassic World: Fallen Kingdom V;68,072130233;31,927869767;170000000;890603542;148024610;1308323302;417719760
10/06/2022;181M;620M;Otro;Jurassic World: Dominion VI;62,465203546;37,534796454;185000000;627153512;145075625;1004004592;376851080
02/07/2025;211M;465M;Otro;Jurassic World Rebirth VII;60,867334573;39,132665427;225000000;528280035;92016065;867920435;339640400
